¬nombre¬1¬2¬rating¬reviews¬price¬ciudad¬comida¬zona¬fecha¬hora¬clave
54¬El Columpio¬4,1(2.105) · €€¬Restaurante · C. de Caracas, 10¬4,1¬2.105¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬El Columpio El Columpio 22-08-2022
55¬La Rollerie¬4,2(1.486) · €€¬Restaurante · C. de Guzmán el Bueno, 105¬4,2¬1.486¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Rollerie La Rollerie 22-08-2022
56¬Zapato Veloz TacoBar Chamberí¬4,7(258)¬Tacos · C. de Fernández de los Ríos, 28¬4,7¬258¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Zapato Veloz TacoBar Chamberí Zapato Veloz TacoBar Chamberí 22-08-2022
57¬Santa Canela¬4,3(383)¬Restaurante · C. de Guzmán el Bueno, 20¬4,3¬383¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Santa Canela Santa Canela 22-08-2022
58¬Hakuna Matata Veggie¬4,6(1.299) · €¬Vegetariana estricta · C. de Galileo, 12¬4,6¬1.299¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Hakuna Matata Veggie Hakuna Matata Veggie 22-08-2022
59¬Mama Campo¬4,0(2.450) · €€¬Restaurante · Entrada por plaza de Olavide, C. de Trafalgar, 22¬4,0¬2.450¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Mama Campo Mama Campo 22-08-2022
60¬Trikki | Nueva Orleans Traditional Cuisine¬4,4(915) · €€¬Americana · Calle de Sta Engracia, 109¬4,4¬915¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Trikki | Nueva Orleans Traditional Cuisine Trikki | Nueva Orleans Traditional Cuisine 22-08-2022
61¬Astros Resto-Bar¬4,2(273)¬Restaurante · Calle BRAVO MURILLO, 34 L 10 - LOCAL ASTROS¬4,2¬273¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Astros Resto-Bar Astros Resto-Bar 22-08-2022
62¬Tierra Burrito Bar¬4,4(2.867) · €¬Burritos · C. de Guzmán el Bueno, 52¬4,4¬2.867¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Tierra Burrito Bar Tierra Burrito Bar 22-08-2022
63¬Maddock¬4,1(1.096) · €€¬Restaurante · P.º del Gral. Martínez Campos, 26¬4,1¬1.096¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Maddock Maddock 22-08-2022
64¬Foster's Hollywood¬3,7(1.230) · €€¬Hamburguesa · C. de Bravo Murillo, 97¬3,7¬1.230¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Foster's Hollywood Foster's Hollywood 22-08-2022
65¬Restaurante Bar Tomate¬4,1(2.398) · €€¬Restaurante · C. de Fernando el Santo, 26¬4,1¬2.398¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Restaurante Bar Tomate Restaurante Bar Tomate 22-08-2022
66¬Asccuas¬3,7(159)¬Parrilla · Calle de Sta Engracia, 114, Local¬3,7¬159¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Asccuas Asccuas 22-08-2022
67¬Restaurante El Yate¬4,1(1.203) · €€¬Restaurante · P.º del Gral. Martínez Campos, 41¬4,1¬1.203¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Restaurante El Yate Restaurante El Yate 22-08-2022
